node_type_id model_type ei model_template morphology pop_name model_processing dynamics_params
196 biophysical i ctdb:Biophys1.hoc Pvalb-IRES-Cre_Ai14-212813.03.01.01_496163999_m.swc i4Pvalb aibs_axon 487667205_fit_Im_v2.json
197 biophysical i ctdb:Biophys1.hoc Pvalb-IRES-Cre_Ai14-212813.03.01.01_496163999_m.swc i4Pvalb aibs_axon 487667205_fit_Ca_HVA.json
198 biophysical i ctdb:Biophys1.hoc Pvalb-IRES-Cre_Ai14-212813.03.01.01_496163999_m.swc i4Pvalb aibs_axon 487667205_fit_Kd.json
199 biophysical e ctdb:Biophys1.hoc Rbp4-Cre_KL100_Ai14-180747.06.01.01_495335491_m.swc e5Rbp4 aibs_axon 471129934_fit_Ca_HVA.json
200 biophysical e ctdb:Biophys1.hoc Rbp4-Cre_KL100_Ai14-180747.06.01.01_495335491_m.swc e5Rbp4 aibs_axon 471129934_fit_K_T.json
201 biophysical e ctdb:Biophys1.hoc Rbp4-Cre_KL100_Ai14-180747.06.01.01_495335491_m.swc e5Rbp4 aibs_axon 471129934_fit_Ih.json
202 biophysical e ctdb:Biophys1.hoc Rbp4-Cre_KL100_Ai14-180747.06.01.01_495335491_m.swc e5Rbp4 aibs_axon 471129934_fit_Ca_LVA.json
203 biophysical e ctdb:Biophys1.hoc Rbp4-Cre_KL100_Ai14-180747.06.01.01_495335491_m.swc e5Rbp4 aibs_axon 471129934_fit_K_P.json
204 biophysical e ctdb:Biophys1.hoc Rbp4-Cre_KL100_Ai14-180747.06.01.01_495335491_m.swc e5Rbp4 aibs_axon 471129934_fit_Im.json
205 biophysical e ctdb:Biophys1.hoc Rbp4-Cre_KL100_Ai14-180747.06.01.01_495335491_m.swc e5Rbp4 aibs_axon 471129934_fit.json
206 biophysical e ctdb:Biophys1.hoc Rbp4-Cre_KL100_Ai14-180747.06.01.01_495335491_m.swc e5Rbp4 aibs_axon 471129934_fit_SK.json
207 biophysical e ctdb:Biophys1.hoc Rbp4-Cre_KL100_Ai14-180747.06.01.01_495335491_m.swc e5Rbp4 aibs_axon 471129934_fit_Nap.json
208 biophysical e ctdb:Biophys1.hoc Rbp4-Cre_KL100_Ai14-180747.06.01.01_495335491_m.swc e5Rbp4 aibs_axon 471129934_fit_Kv3_1.json
209 biophysical e ctdb:Biophys1.hoc Rbp4-Cre_KL100_Ai14-180747.06.01.01_495335491_m.swc e5Rbp4 aibs_axon 471129934_fit_NaTs.json
210 biophysical e ctdb:Biophys1.hoc Rorb-IRES2-Cre-D_Ai14-197851.04.01.01_491770985_m.swc e5noRbp4 aibs_axon 480351780_fit_Ca_LVA.json
211 biophysical e ctdb:Biophys1.hoc Rorb-IRES2-Cre-D_Ai14-197851.04.01.01_491770985_m.swc e5noRbp4 aibs_axon 480351780_fit_Nap.json
212 biophysical e ctdb:Biophys1.hoc Rorb-IRES2-Cre-D_Ai14-197851.04.01.01_491770985_m.swc e5noRbp4 aibs_axon 480351780_fit_K_P.json
213 biophysical e ctdb:Biophys1.hoc Rorb-IRES2-Cre-D_Ai14-197851.04.01.01_491770985_m.swc e5noRbp4 aibs_axon 480351780_fit_Kv3_1.json
214 biophysical e ctdb:Biophys1.hoc Rorb-IRES2-Cre-D_Ai14-197851.04.01.01_491770985_m.swc e5noRbp4 aibs_axon 480351780_fit_Im.json
215 biophysical e ctdb:Biophys1.hoc Rorb-IRES2-Cre-D_Ai14-197851.04.01.01_491770985_m.swc e5noRbp4 aibs_axon 480351780_fit_NaTs.json
216 biophysical e ctdb:Biophys1.hoc Rorb-IRES2-Cre-D_Ai14-197851.04.01.01_491770985_m.swc e5noRbp4 aibs_axon 480351780_fit_K_T.json
217 biophysical e ctdb:Biophys1.hoc Rorb-IRES2-Cre-D_Ai14-197851.04.01.01_491770985_m.swc e5noRbp4 aibs_axon 480351780_fit_Ih.json
218 biophysical e ctdb:Biophys1.hoc Rorb-IRES2-Cre-D_Ai14-197851.04.01.01_491770985_m.swc e5noRbp4 aibs_axon 480351780_fit.json
219 biophysical e ctdb:Biophys1.hoc Rorb-IRES2-Cre-D_Ai14-197851.04.01.01_491770985_m.swc e5noRbp4 aibs_axon 480351780_fit_SK.json
220 biophysical e ctdb:Biophys1.hoc Rorb-IRES2-Cre-D_Ai14-197851.04.01.01_491770985_m.swc e5noRbp4 aibs_axon 480351780_fit_Ca_HVA.json
221 biophysical i ctdb:Biophys1.hoc Pvalb-IRES-Cre_Ai14-212809.03.01.01_500961658_m.swc i5Pvalb aibs_axon 486783119_fit_K_T.json
222 biophysical i ctdb:Biophys1.hoc Pvalb-IRES-Cre_Ai14-212809.03.01.01_500961658_m.swc i5Pvalb aibs_axon 486783119_fit_NaV.json
223 biophysical i ctdb:Biophys1.hoc Pvalb-IRES-Cre_Ai14-212809.03.01.01_500961658_m.swc i5Pvalb aibs_axon 486783119_fit.json
224 biophysical i ctdb:Biophys1.hoc Pvalb-IRES-Cre_Ai14-212809.03.01.01_500961658_m.swc i5Pvalb aibs_axon 486783119_fit_Kv2like.json
225 biophysical i ctdb:Biophys1.hoc Pvalb-IRES-Cre_Ai14-212809.03.01.01_500961658_m.swc i5Pvalb aibs_axon 486783119_fit_Im_v2.json
226 biophysical i ctdb:Biophys1.hoc Pvalb-IRES-Cre_Ai14-212809.03.01.01_500961658_m.swc i5Pvalb aibs_axon 486783119_fit_SK.json
227 biophysical i ctdb:Biophys1.hoc Pvalb-IRES-Cre_Ai14-212809.03.01.01_500961658_m.swc i5Pvalb aibs_axon 486783119_fit_Ih.json
228 biophysical i ctdb:Biophys1.hoc Pvalb-IRES-Cre_Ai14-212809.03.01.01_500961658_m.swc i5Pvalb aibs_axon 486783119_fit_Kd.json
229 biophysical i ctdb:Biophys1.hoc Pvalb-IRES-Cre_Ai14-212809.03.01.01_500961658_m.swc i5Pvalb aibs_axon 486783119_fit_Kv3_1.json
230 biophysical i ctdb:Biophys1.hoc Pvalb-IRES-Cre_Ai14-212809.03.01.01_500961658_m.swc i5Pvalb aibs_axon 486783119_fit_Ca_HVA.json
231 biophysical i ctdb:Biophys1.hoc Pvalb-IRES-Cre_Ai14-212809.03.01.01_500961658_m.swc i5Pvalb aibs_axon 486783119_fit_Ca_LVA.json
232 biophysical i ctdb:Biophys1.hoc Sst-IRES-Cre_Ai14-199390.05.01.01_492101025_m.swc i5Sst aibs_axon 482690728_fit.json
233 biophysical i ctdb:Biophys1.hoc Sst-IRES-Cre_Ai14-199390.05.01.01_492101025_m.swc i5Sst aibs_axon 482690728_fit_Ih.json
234 biophysical i ctdb:Biophys1.hoc Sst-IRES-Cre_Ai14-199390.05.01.01_492101025_m.swc i5Sst aibs_axon 482690728_fit_Kv2like.json
235 biophysical i ctdb:Biophys1.hoc Sst-IRES-Cre_Ai14-199390.05.01.01_492101025_m.swc i5Sst aibs_axon 482690728_fit_SK.json
236 biophysical i ctdb:Biophys1.hoc Sst-IRES-Cre_Ai14-199390.05.01.01_492101025_m.swc i5Sst aibs_axon 482690728_fit_Kd.json
237 biophysical i ctdb:Biophys1.hoc Sst-IRES-Cre_Ai14-199390.05.01.01_492101025_m.swc i5Sst aibs_axon 482690728_fit_Ca_HVA.json
238 biophysical i ctdb:Biophys1.hoc Sst-IRES-Cre_Ai14-199390.05.01.01_492101025_m.swc i5Sst aibs_axon 482690728_fit_Kv3_1.json
239 biophysical i ctdb:Biophys1.hoc Sst-IRES-Cre_Ai14-199390.05.01.01_492101025_m.swc i5Sst aibs_axon 482690728_fit_K_T.json
240 biophysical i ctdb:Biophys1.hoc Sst-IRES-Cre_Ai14-199390.05.01.01_492101025_m.swc i5Sst aibs_axon 482690728_fit_NaV.json
241 biophysical i ctdb:Biophys1.hoc Sst-IRES-Cre_Ai14-199390.05.01.01_492101025_m.swc i5Sst aibs_axon 482690728_fit_Ca_LVA.json
242 biophysical i ctdb:Biophys1.hoc Sst-IRES-Cre_Ai14-199390.05.01.01_492101025_m.swc i5Sst aibs_axon 482690728_fit_Im_v2.json
243 biophysical e ctdb:Biophys1.hoc Ntsr1-Cre_Ai14-181184.02.02.01_491771181_m.swc e6Ntsr1 aibs_axon 471819401_fit_SK.json
244 biophysical e ctdb:Biophys1.hoc Ntsr1-Cre_Ai14-181184.02.02.01_491771181_m.swc e6Ntsr1 aibs_axon 471819401_fit_Ca_LVA.json
245 biophysical e ctdb:Biophys1.hoc Ntsr1-Cre_Ai14-181184.02.02.01_491771181_m.swc e6Ntsr1 aibs_axon 471819401_fit_NaTs.json
246 biophysical e ctdb:Biophys1.hoc Ntsr1-Cre_Ai14-181184.02.02.01_491771181_m.swc e6Ntsr1 aibs_axon 471819401_fit_Ca_HVA.json
247 biophysical e ctdb:Biophys1.hoc Ntsr1-Cre_Ai14-181184.02.02.01_491771181_m.swc e6Ntsr1 aibs_axon 471819401_fit.json
248 biophysical e ctdb:Biophys1.hoc Ntsr1-Cre_Ai14-181184.02.02.01_491771181_m.swc e6Ntsr1 aibs_axon 471819401_fit_K_T.json
249 biophysical e ctdb:Biophys1.hoc Ntsr1-Cre_Ai14-181184.02.02.01_491771181_m.swc e6Ntsr1 aibs_axon 471819401_fit_K_P.json
250 biophysical e ctdb:Biophys1.hoc Ntsr1-Cre_Ai14-181184.02.02.01_491771181_m.swc e6Ntsr1 aibs_axon 471819401_fit_Ih.json
251 biophysical e ctdb:Biophys1.hoc Ntsr1-Cre_Ai14-181184.02.02.01_491771181_m.swc e6Ntsr1 aibs_axon 471819401_fit_Nap.json
252 biophysical e ctdb:Biophys1.hoc Ntsr1-Cre_Ai14-181184.02.02.01_491771181_m.swc e6Ntsr1 aibs_axon 471819401_fit_Kv3_1.json
253 biophysical e ctdb:Biophys1.hoc Ntsr1-Cre_Ai14-181184.02.02.01_491771181_m.swc e6Ntsr1 aibs_axon 471819401_fit_Im.json
254 biophysical i ctdb:Biophys1.hoc Sst-IRES-Cre_Ai14-188741.06.02.01_491771387_m.swc i6Sst aibs_axon 476754635_fit_Ca_HVA.json
255 biophysical i ctdb:Biophys1.hoc Sst-IRES-Cre_Ai14-188741.06.02.01_491771387_m.swc i6Sst aibs_axon 476754635_fit_Kv2like.json
256 biophysical i ctdb:Biophys1.hoc Sst-IRES-Cre_Ai14-188741.06.02.01_491771387_m.swc i6Sst aibs_axon 476754635_fit_Ih.json
257 biophysical i ctdb:Biophys1.hoc Sst-IRES-Cre_Ai14-188741.06.02.01_491771387_m.swc i6Sst aibs_axon 476754635_fit_K_T.json
258 biophysical i ctdb:Biophys1.hoc Sst-IRES-Cre_Ai14-188741.06.02.01_491771387_m.swc i6Sst aibs_axon 476754635_fit.json
259 biophysical i ctdb:Biophys1.hoc Sst-IRES-Cre_Ai14-188741.06.02.01_491771387_m.swc i6Sst aibs_axon 476754635_fit_NaV.json
260 biophysical i ctdb:Biophys1.hoc Sst-IRES-Cre_Ai14-188741.06.02.01_491771387_m.swc i6Sst aibs_axon 476754635_fit_Ca_LVA.json
261 biophysical i ctdb:Biophys1.hoc Sst-IRES-Cre_Ai14-188741.06.02.01_491771387_m.swc i6Sst aibs_axon 476754635_fit_Im_v2.json
262 biophysical i ctdb:Biophys1.hoc Sst-IRES-Cre_Ai14-188741.06.02.01_491771387_m.swc i6Sst aibs_axon 476754635_fit_Kd.json
263 biophysical i ctdb:Biophys1.hoc Sst-IRES-Cre_Ai14-188741.06.02.01_491771387_m.swc i6Sst aibs_axon 476754635_fit_Kv3_1.json
264 biophysical i ctdb:Biophys1.hoc Sst-IRES-Cre_Ai14-188741.06.02.01_491771387_m.swc i6Sst aibs_axon 476754635_fit_SK.json
