node_type_id model_template model_type model_processing dynamics_params ei morphology pop_name
207 ctdb:Biophys1.hoc biophysical aibs_axon 487667205_fit_K_T.json i Pvalb-IRES-Cre_Ai14-212813.03.01.01_496163999_m.swc i4Pvalb
208 ctdb:Biophys1.hoc biophysical aibs_axon 471129934_fit_K_P.json e Rbp4-Cre_KL100_Ai14-180747.06.01.01_495335491_m.swc e5Rbp4
209 ctdb:Biophys1.hoc biophysical aibs_axon 471129934_fit_SK.json e Rbp4-Cre_KL100_Ai14-180747.06.01.01_495335491_m.swc e5Rbp4
210 ctdb:Biophys1.hoc biophysical aibs_axon 471129934_fit_Im.json e Rbp4-Cre_KL100_Ai14-180747.06.01.01_495335491_m.swc e5Rbp4
211 ctdb:Biophys1.hoc biophysical aibs_axon 471129934_fit_NaTs.json e Rbp4-Cre_KL100_Ai14-180747.06.01.01_495335491_m.swc e5Rbp4
212 ctdb:Biophys1.hoc biophysical aibs_axon 471129934_fit_Kv3_1.json e Rbp4-Cre_KL100_Ai14-180747.06.01.01_495335491_m.swc e5Rbp4
213 ctdb:Biophys1.hoc biophysical aibs_axon 471129934_fit_g_pas.json e Rbp4-Cre_KL100_Ai14-180747.06.01.01_495335491_m.swc e5Rbp4
214 ctdb:Biophys1.hoc biophysical aibs_axon 471129934_fit_Ih.json e Rbp4-Cre_KL100_Ai14-180747.06.01.01_495335491_m.swc e5Rbp4
215 ctdb:Biophys1.hoc biophysical aibs_axon 471129934_fit_Ca_LVA.json e Rbp4-Cre_KL100_Ai14-180747.06.01.01_495335491_m.swc e5Rbp4
216 ctdb:Biophys1.hoc biophysical aibs_axon 471129934_fit_Nap.json e Rbp4-Cre_KL100_Ai14-180747.06.01.01_495335491_m.swc e5Rbp4
217 ctdb:Biophys1.hoc biophysical aibs_axon 471129934_fit_K_T.json e Rbp4-Cre_KL100_Ai14-180747.06.01.01_495335491_m.swc e5Rbp4
218 ctdb:Biophys1.hoc biophysical aibs_axon 471129934_fit_Ca_HVA.json e Rbp4-Cre_KL100_Ai14-180747.06.01.01_495335491_m.swc e5Rbp4
219 ctdb:Biophys1.hoc biophysical aibs_axon 471129934_fit.json e Rbp4-Cre_KL100_Ai14-180747.06.01.01_495335491_m.swc e5Rbp4
220 ctdb:Biophys1.hoc biophysical aibs_axon 480351780_fit_NaTs.json e Rorb-IRES2-Cre-D_Ai14-197851.04.01.01_491770985_m.swc e5noRbp4
221 ctdb:Biophys1.hoc biophysical aibs_axon 480351780_fit_K_P.json e Rorb-IRES2-Cre-D_Ai14-197851.04.01.01_491770985_m.swc e5noRbp4
222 ctdb:Biophys1.hoc biophysical aibs_axon 480351780_fit_Kv3_1.json e Rorb-IRES2-Cre-D_Ai14-197851.04.01.01_491770985_m.swc e5noRbp4
223 ctdb:Biophys1.hoc biophysical aibs_axon 480351780_fit_g_pas.json e Rorb-IRES2-Cre-D_Ai14-197851.04.01.01_491770985_m.swc e5noRbp4
224 ctdb:Biophys1.hoc biophysical aibs_axon 480351780_fit_Ih.json e Rorb-IRES2-Cre-D_Ai14-197851.04.01.01_491770985_m.swc e5noRbp4
225 ctdb:Biophys1.hoc biophysical aibs_axon 480351780_fit_Ca_LVA.json e Rorb-IRES2-Cre-D_Ai14-197851.04.01.01_491770985_m.swc e5noRbp4
226 ctdb:Biophys1.hoc biophysical aibs_axon 480351780_fit.json e Rorb-IRES2-Cre-D_Ai14-197851.04.01.01_491770985_m.swc e5noRbp4
227 ctdb:Biophys1.hoc biophysical aibs_axon 480351780_fit_Ca_HVA.json e Rorb-IRES2-Cre-D_Ai14-197851.04.01.01_491770985_m.swc e5noRbp4
228 ctdb:Biophys1.hoc biophysical aibs_axon 480351780_fit_K_T.json e Rorb-IRES2-Cre-D_Ai14-197851.04.01.01_491770985_m.swc e5noRbp4
229 ctdb:Biophys1.hoc biophysical aibs_axon 480351780_fit_Nap.json e Rorb-IRES2-Cre-D_Ai14-197851.04.01.01_491770985_m.swc e5noRbp4
230 ctdb:Biophys1.hoc biophysical aibs_axon 480351780_fit_SK.json e Rorb-IRES2-Cre-D_Ai14-197851.04.01.01_491770985_m.swc e5noRbp4
231 ctdb:Biophys1.hoc biophysical aibs_axon 480351780_fit_Im.json e Rorb-IRES2-Cre-D_Ai14-197851.04.01.01_491770985_m.swc e5noRbp4
232 ctdb:Biophys1.hoc biophysical aibs_axon 486783119_fit_K_T.json i Pvalb-IRES-Cre_Ai14-212809.03.01.01_500961658_m.swc i5Pvalb
233 ctdb:Biophys1.hoc biophysical aibs_axon 486783119_fit_Kv3_1.json i Pvalb-IRES-Cre_Ai14-212809.03.01.01_500961658_m.swc i5Pvalb
234 ctdb:Biophys1.hoc biophysical aibs_axon 486783119_fit_g_pas.json i Pvalb-IRES-Cre_Ai14-212809.03.01.01_500961658_m.swc i5Pvalb
235 ctdb:Biophys1.hoc biophysical aibs_axon 486783119_fit_SK.json i Pvalb-IRES-Cre_Ai14-212809.03.01.01_500961658_m.swc i5Pvalb
236 ctdb:Biophys1.hoc biophysical aibs_axon 486783119_fit_Im_v2.json i Pvalb-IRES-Cre_Ai14-212809.03.01.01_500961658_m.swc i5Pvalb
237 ctdb:Biophys1.hoc biophysical aibs_axon 486783119_fit_Kv2like.json i Pvalb-IRES-Cre_Ai14-212809.03.01.01_500961658_m.swc i5Pvalb
238 ctdb:Biophys1.hoc biophysical aibs_axon 486783119_fit_NaV.json i Pvalb-IRES-Cre_Ai14-212809.03.01.01_500961658_m.swc i5Pvalb
239 ctdb:Biophys1.hoc biophysical aibs_axon 486783119_fit_Ca_LVA.json i Pvalb-IRES-Cre_Ai14-212809.03.01.01_500961658_m.swc i5Pvalb
240 ctdb:Biophys1.hoc biophysical aibs_axon 486783119_fit_Ih.json i Pvalb-IRES-Cre_Ai14-212809.03.01.01_500961658_m.swc i5Pvalb
241 ctdb:Biophys1.hoc biophysical aibs_axon 486783119_fit.json i Pvalb-IRES-Cre_Ai14-212809.03.01.01_500961658_m.swc i5Pvalb
242 ctdb:Biophys1.hoc biophysical aibs_axon 486783119_fit_Kd.json i Pvalb-IRES-Cre_Ai14-212809.03.01.01_500961658_m.swc i5Pvalb
243 ctdb:Biophys1.hoc biophysical aibs_axon 486783119_fit_Ca_HVA.json i Pvalb-IRES-Cre_Ai14-212809.03.01.01_500961658_m.swc i5Pvalb
244 ctdb:Biophys1.hoc biophysical aibs_axon 482690728_fit_Ca_HVA.json i Sst-IRES-Cre_Ai14-199390.05.01.01_492101025_m.swc i5Sst
245 ctdb:Biophys1.hoc biophysical aibs_axon 482690728_fit_Ih.json i Sst-IRES-Cre_Ai14-199390.05.01.01_492101025_m.swc i5Sst
246 ctdb:Biophys1.hoc biophysical aibs_axon 482690728_fit.json i Sst-IRES-Cre_Ai14-199390.05.01.01_492101025_m.swc i5Sst
247 ctdb:Biophys1.hoc biophysical aibs_axon 482690728_fit_Kd.json i Sst-IRES-Cre_Ai14-199390.05.01.01_492101025_m.swc i5Sst
248 ctdb:Biophys1.hoc biophysical aibs_axon 482690728_fit_NaV.json i Sst-IRES-Cre_Ai14-199390.05.01.01_492101025_m.swc i5Sst
249 ctdb:Biophys1.hoc biophysical aibs_axon 482690728_fit_Ca_LVA.json i Sst-IRES-Cre_Ai14-199390.05.01.01_492101025_m.swc i5Sst
250 ctdb:Biophys1.hoc biophysical aibs_axon 482690728_fit_K_T.json i Sst-IRES-Cre_Ai14-199390.05.01.01_492101025_m.swc i5Sst
251 ctdb:Biophys1.hoc biophysical aibs_axon 482690728_fit_SK.json i Sst-IRES-Cre_Ai14-199390.05.01.01_492101025_m.swc i5Sst
252 ctdb:Biophys1.hoc biophysical aibs_axon 482690728_fit_Im_v2.json i Sst-IRES-Cre_Ai14-199390.05.01.01_492101025_m.swc i5Sst
253 ctdb:Biophys1.hoc biophysical aibs_axon 482690728_fit_Kv3_1.json i Sst-IRES-Cre_Ai14-199390.05.01.01_492101025_m.swc i5Sst
254 ctdb:Biophys1.hoc biophysical aibs_axon 482690728_fit_g_pas.json i Sst-IRES-Cre_Ai14-199390.05.01.01_492101025_m.swc i5Sst
255 ctdb:Biophys1.hoc biophysical aibs_axon 482690728_fit_Kv2like.json i Sst-IRES-Cre_Ai14-199390.05.01.01_492101025_m.swc i5Sst
256 ctdb:Biophys1.hoc biophysical aibs_axon 471819401_fit_Ih.json e Ntsr1-Cre_Ai14-181184.02.02.01_491771181_m.swc e6Ntsr1
257 ctdb:Biophys1.hoc biophysical aibs_axon 471819401_fit_K_T.json e Ntsr1-Cre_Ai14-181184.02.02.01_491771181_m.swc e6Ntsr1
258 ctdb:Biophys1.hoc biophysical aibs_axon 471819401_fit_g_pas.json e Ntsr1-Cre_Ai14-181184.02.02.01_491771181_m.swc e6Ntsr1
259 ctdb:Biophys1.hoc biophysical aibs_axon 471819401_fit_Nap.json e Ntsr1-Cre_Ai14-181184.02.02.01_491771181_m.swc e6Ntsr1
